Account Number,Fund Number,Fund Name,Fund Group,Department,Division,Account Description,Sub Account Description,Element Description,Object Description,Year,Amount
012-0000-365.79-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,ECONOMIC DEVELOPMENT,,2013,$0
012-0000-365.89-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,EMS/FIRE DONATIONS,,2013,$0
012-0000-365.98-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,CABLE PROGRAMMING FUND,,2013,$0
012-0000-392.20-00,12,GENERAL TRUST FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2013,$0
017-0000-331.60-00,17,SFOOR GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,HOUSING REHAB GRANT,,2013,"$132,560"
018-0000-300.00-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,"$293,850"
018-0000-314.10-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,TAXES,SELECTIVE SALES/USE TAXES,HOTEL/MOTEL TAX,,2013,"$800,000"
018-0000-361.10-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
018-0000-361.20-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2013,$250
018-0000-361.50-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2013,$0
018-0000-395.30-00,18,TOURISM FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
025-0000-300.00-00,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,$0
025-0000-331.60-00,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,HOUSING REHAB GRANT,,2013,"$1,113,490"
025-0000-363.20-10,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,BUILDING RENTAL,WASHINGTON SQUARE APT,2013,$0
025-0000-392.20-00,25,NSP2 GRANT,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2013,$0
110-0000-300.00-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,"$107,440"
110-0000-311.10-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,"$2,670,610"
110-0000-315.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,TAXES,INCOME TAXES,CORP PERS REPLACEMENT TAX,,2013,"$36,770"
110-0000-335.60-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,LIBRARY GRANTS,PER CAPITA GRANT,,2013,"$45,000"
110-0000-341.10-03,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,FEES FOR COPIES,PHOTOCOPIES,2013,"$8,000"
110-0000-341.90-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,RENTAL BOOK COLLECTION,,2013,"$4,000"
110-0000-347.10-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CULTURE,NON-RESIDENT FEES,,2013,$725
110-0000-347.30-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CULTURE,VIDEO RENTAL - MPL,,2013,"$18,000"
110-0000-347.40-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CULTURE,MEETING ROOM RENTAL,,2013,"$15,000"
110-0000-347.50-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CULTURE,INTERNET GUEST PASS,,2013,"$4,000"
110-0000-353.30-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,FINES AND FORFEITURES,PENALTIES,LATE/OVERDUE PENALTIES,,2013,"$75,000"
110-0000-361.10-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$500
110-0000-361.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2013,$0
110-0000-361.50-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2013,$0
110-0000-365.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,GIFTS,,2013,$0
110-0000-392.20-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2013,$0
110-0000-392.50-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,COPPER CAFE,,2013,"$6,000"
110-0000-395.30-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,"$10,000"
110-0000-395.40-00,110,LIBRARY FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OVER - SHORT,,2013,$0
120-0000-300.00-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,"$91,020"
120-0000-311.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,"$2,612,265"
120-0000-315.20-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,TAXES,INCOME TAXES,CORP PERS REPLACEMENT TAX,,2013,"$188,765"
120-0000-334.75-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,IDOT REIMBURSEMENT,,2013,"$28,000"
120-0000-334.90-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2013,$0
120-0000-346.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,AT NEED SALES,,2013,"$29,360"
120-0000-346.20-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,BURIALS,,2013,"$91,195"
120-0000-346.30-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,FOUNDATIONS,,2013,"$13,395"
120-0000-346.40-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,MARKER SALES,,2013,"$16,530"
120-0000-346.50-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,GRAVE DECORATIONS,,2013,"$15,320"
120-0000-346.60-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,PRE-NEED SALES,,2013,"$39,790"
120-0000-346.70-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,OTHER FEES,,2013,"$3,000"
120-0000-346.80-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,CEMETERY,PERPETUAL CARE,,2013,$0
120-0000-348.10-05,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,TENNIS,2013,"$7,425"
120-0000-348.10-10,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,GREENVALLEY SPORTS,2013,"$40,740"
120-0000-348.10-15,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,ADULT SPORTS,2013,"$27,900"
120-0000-348.10-20,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,YOUTH SPORTS,2013,"$36,780"
120-0000-348.10-25,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,SPECIAL EVENTS,2013,"$18,000"
120-0000-348.10-30,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,SPECIALTY CLASSES,2013,"$4,500"
120-0000-348.10-35,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,THE CELLAR,2013,"$10,275"
120-0000-348.10-40,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,ACTIVITY CENTER,2013,$0
120-0000-348.10-60,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,NATIONAL TOURNAMENTS,2013,$0
120-0000-348.10-65,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,OTHER PROGRAMS,STATE SOFTBALL TOURNAMENT,2013,"$7,750"
120-0000-348.60-01,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,LOCKERS,2013,$250
120-0000-348.60-02,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,LESSONS,2013,"$9,180"
120-0000-348.60-03,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,PASSES/COUPONS,2013,"$5,900"
120-0000-348.60-04,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,RENTAL,2013,"$8,100"
120-0000-348.60-05,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,POOL CONCESSIONS,2013,"$30,000"
120-0000-348.60-06,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,ADMISSIONS,2013,"$97,000"
120-0000-348.60-08,120,PARK FUND,SPECIAL REVENUE FUNDS,,,CHARGES FOR SERVICES,RECREATION,POOL,OTHER,2013,$750
120-0000-361.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
120-0000-361.20-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2013,$0
120-0000-361.50-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2013,$0
120-0000-363.15-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,FACILITY RENTAL,,2013,"$42,005"
120-0000-363.25-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,ANTENNA LEASE AGREEMENTS,,2013,"$21,600"
120-0000-363.30-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,MARINA RENTAL,,2013,"$16,000"
120-0000-363.40-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,CAPTAIN'S TABLE,,2013,"$47,520"
120-0000-364.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONCESSION/COMMISSIONS,GREENVALLEY CONCESSIONS,,2013,"$150,000"
120-0000-365.36-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,OTHER GIFTS,,2013,"$3,700"
120-0000-391.10-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2013,$0
120-0000-391.14-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM PARK GIFT FUND,,2013,$0
120-0000-391.15-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM TOURISM FUND,,2013,"$280,000"
120-0000-391.42-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM PERPETUAL CARE,,2013,$0
120-0000-395.20-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE TO CITY PROPERTY,,2013,$0
120-0000-395.30-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,"$1,500"
120-0000-395.40-00,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OVER - SHORT,,2013,$0
120-0000-395.61-01,120,PARK FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SPECIAL EVENT SERVICES,EASTER EGG HUNT,2013,"$1,500"
220-0000-300.00-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,$0
220-0000-334.90-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2013,"$1,400,000"
220-0000-336.10-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,MOTOR FUEL TAX,,2013,"$1,150,000"
220-0000-336.20-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,STATE SHARED REVENUES,MFT FAUS,,2013,$0
220-0000-361.10-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
220-0000-361.20-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2013,$0
220-0000-361.50-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2013,$0
220-0000-361.60-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INT ON T-BILLS/T-NOTES,,2013,$0
220-0000-391.10-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2013,$0
220-0000-395.30-00,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
230-0000-300.00-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,$0
230-0000-331.10-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,COMM DEV BLOCK GRANT,,2013,"$1,069,695"
230-0000-361.10-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
230-0000-392.30-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF CITY LAND/BLDGS,,2013,$0
230-0000-395.30-00,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
231-0000-300.00-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,"$216,000"
231-0000-361.51-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2013,"$2,880"
231-0000-371.10-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,LOAN PAYMENTS,LOAN REPAYMENT OF PRINCIP,REPAY ON LOANS,,2013,"$19,980"
231-0000-395.30-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
234-0000-300.00-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,$0
234-0000-311.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,"$2,809,600"
234-0000-313.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,TAXES,SALES TAX,SALES TAX,,2013,"$544,810"
234-0000-334.90-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2013,$0
234-0000-361.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
234-0000-361.30-01,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2013,$550
234-0000-361.50-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2013,$0
234-0000-361.51-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2013,$355
234-0000-363.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,LAND RENTAL,,2013,"$70,500"
234-0000-363.20-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,BUILDING RENTAL,,2013,$0
234-0000-363.20-10,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,BUILDING RENTAL,WASHINGTON SQUARE APT,2013,"$75,900"
234-0000-371.30-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,LOAN PAYMENTS,LOAN REPAYMENT OF PRINCIP,TIF REVOLVING LOANS,,2013,"$19,150"
234-0000-391.05-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM NSP2,,2013,$0
234-0000-391.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2013,"$50,000"
234-0000-395.30-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
235-0000-300.00-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,$0
235-0000-311.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,"$193,350"
235-0000-311.10-10,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,SPECIAL DISTRIBUTIONS,2013,$0
235-0000-361.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
235-0000-361.30-01,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2013,$0
235-0000-361.51-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2013,$0
235-0000-393.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2013,$0
235-0000-395.30-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
236-0000-311.10-00,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,"$54,450"
236-0000-361.10-00,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
236-0000-361.30-01,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2013,$0
237-0000-311.10-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,"$193,425"
237-0000-361.10-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
237-0000-361.30-01,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2013,$0
237-0000-395.30-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
238-0000-331.30-00,238,HOME BUYER GRANT,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,FEDERAL GRANT,IHDA GRANT,,2013,"$237,170"
243-0000-311.10-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,"$32,365"
243-0000-361.10-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
243-0000-361.30-01,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2013,$0
243-0000-395.30-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
244-0000-311.10-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,"$53,500"
244-0000-361.10-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
244-0000-361.30-01,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2013,$0
244-0000-395.30-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
245-0000-300.00-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,"$5,728,635"
245-0000-311.10-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2013,$0
245-0000-361.10-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
245-0000-361.30-01,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2013,$0
245-0000-361.50-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2013,$0
245-0000-393.10-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2013,$0
245-0000-395.99-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,PREMIUMS,,2013,$0
246-0000-361.10-00,246,TIF #9 ROUTE 6 & 150,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
246-0000-395.30-00,246,TIF #9 ROUTE 6 & 150,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
248-0000-300.00-00,248,TIF #8 SOUTHPARK MALL,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2013,$0
248-0000-361.10-00,248,TIF #8 SOUTHPARK MALL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2013,$0
248-0000-395.30-00,248,TIF #8 SOUTHPARK MALL,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2013,$0
