Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
120-1541-452.04-29,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2014,$0,,,,,,,,,,,,,,
120-1541-452.04-40,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,TAXES,2014,"$2,390",,,,,,,,,,,,,,
120-1541-452.05-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,PRINTING/DUPLICATING,2014,$300,,,,,,,,,,,,,,
120-1541-452.05-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,POSTAGE/SHIPPING,2014,"$1,260",,,,,,,,,,,,,,
120-1541-452.05-05,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,MEMBERSHIPS/PUBLICATIONS,2014,$100,,,,,,,,,,,,,,
120-1541-452.05-06,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2014,$500,,,,,,,,,,,,,,
120-1541-452.05-10,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2014,"$1,000",,,,,,,,,,,,,,
120-1541-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2014,"$4,950",,,,,,,,,,,,,,
120-1541-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2014,$400,,,,,,,,,,,,,,
120-1541-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2014,"$1,375",,,,,,,,,,,,,,
120-1541-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2014,"$1,875",,,,,,,,,,,,,,
120-1541-452.06-37,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,SMALL TOOLS,2014,"$2,200",,,,,,,,,,,,,,
120-1541-452.06-38,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,SAFETY EQUIPMENT,2014,$150,,,,,,,,,,,,,,
120-1541-452.06-65,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,OTHER SUPPLIES/SERVICES,2014,"$18,290",,,,,,,,,,,,,,
120-1541-452.06-66,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,VEHICLE FUEL/LUBRICANTS,2014,"$6,420",,,,,,,,,,,,,,
220-9817-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 00-00221-00-RP,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9818-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 06-00234-00-LS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9822-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 08-00239-00-RP,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9827-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 10-00247-00-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9829-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 10-000245-00-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9832-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 12-00-251-00-RP,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9833-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 12-00-252-00-RP,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9834-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 12-00-253-00-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9835-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 12-00-254-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9836-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 13-00-255-00-PV,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9837-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 13-00256-00-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9838-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 260 JD ROAD WIDE,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,"$345,000",,,,,,,,,,,,,,
220-9839-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 261 MULTI MODAL,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,"$585,000",,,,,,,,,,,,,,
220-9840-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 13-00258-00-LS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9841-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 15-00263-00-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9842-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 14-00000-00-GM,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9843-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 15-00264-00-ES,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9936-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,80-00136-00-RP,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2014,$0,,,,,,,,,,,,,,
220-9955-436.10-99,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TRANSFER,GENERAL GOVERNMENT,MFT,INTERFUND TRANSFERS,TRANSFER TO RESERVES,2014,"$120,000",,,,,,,,,,,,,,
230-0721-491.02-55,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2014,"$7,500",,,,,,,,,,,,,,
230-0721-491.03-11,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,GRANT ADMIN SERVICES,2014,"$80,515",,,,,,,,,,,,,,
230-0721-491.03-21,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,SEASONAL EMPLOYMNT AGENCY,2014,"$21,000",,,,,,,,,,,,,,
230-0721-491.03-22,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2014,"$18,000",,,,,,,,,,,,,,
230-0721-491.03-24,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,COURT/RECORDING FEES,2014,"$1,500",,,,,,,,,,,,,,
230-0721-491.04-15,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,RENTAL EXPENSE,2014,"$1,000",,,,,,,,,,,,,,
230-0721-491.04-16,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,UTILITIES,2014,"$1,500",,,,,,,,,,,,,,
230-0721-491.04-40,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,TAXES,2014,$0,,,,,,,,,,,,,,
230-0721-491.05-02,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,PRINTING/DUPLICATING,2014,$500,,,,,,,,,,,,,,
230-0721-491.05-04,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,POSTAGE/SHIPPING,2014,$940,,,,,,,,,,,,,,
230-0721-491.05-05,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,MEMBERSHIP/PUBLICATIONS,2014,"$2,750",,,,,,,,,,,,,,
230-0721-491.05-06,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,ADVERTISMENT/PROMOTIONS,2014,"$1,000",,,,,,,,,,,,,,
230-0721-491.05-10,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2014,$500,,,,,,,,,,,,,,
230-0721-491.05-55,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,LIAB INS COVERAGE,2014,"$3,810",,,,,,,,,,,,,,
230-0721-491.06-01,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,OFFICE SUPPLIES,2014,"$1,000",,,,,,,,,,,,,,
230-0721-491.06-08,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,DATA PROCESSING SUPPLIES,2014,"$1,000",,,,,,,,,,,,,,
230-0721-491.06-30,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,OPERATING SUPPLIES,2014,"$1,500",,,,,,,,,,,,,,
230-0722-491.02-55,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2014,"$4,450",,,,,,,,,,,,,,
230-0722-491.03-11,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,GRANT ADMIN SERVICES,2014,"$68,165",,,,,,,,,,,,,,
230-0722-491.03-21,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,SEASONAL EMPLOYMNT AGENCY,2014,"$25,000",,,,,,,,,,,,,,
230-0722-491.03-22,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2014,"$28,525",,,,,,,,,,,,,,
230-0722-491.03-24,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,COURT/RECORDING FEES,2014,"$2,000",,,,,,,,,,,,,,
230-0722-491.04-15,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,RENTAL EXPENSE,2014,$500,,,,,,,,,,,,,,
230-0722-491.04-29,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2014,$0,,,,,,,,,,,,,,
230-0722-491.04-40,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,TAXES,2014,$200,,,,,,,,,,,,,,
230-0722-491.05-02,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,PRINTING/DUPLICATING,2014,$800,,,,,,,,,,,,,,
230-0722-491.05-04,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,POSTAGE/SHIPPING,2014,"$1,000",,,,,,,,,,,,,,
230-0722-491.05-05,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,MEMBERSHIP/PUBLICATIONS,2014,"$1,000",,,,,,,,,,,,,,
230-0722-491.05-06,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,ADVERTISMENT/PROMOTIONS,2014,"$1,000",,,,,,,,,,,,,,
230-0722-491.05-10,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2014,$500,,,,,,,,,,,,,,
230-0722-491.05-55,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,LIAB INS COVERAGE,2014,"$3,860",,,,,,,,,,,,,,
230-0722-491.06-01,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,OFFICE SUPPLIES,2014,"$1,000",,,,,,,,,,,,,,
230-0722-491.06-08,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,DATA PROCESSING SUPPLIES,2014,"$1,000",,,,,,,,,,,,,,
230-0722-491.06-30,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,OPERATING SUPPLIES,2014,"$1,000",,,,,,,,,,,,,,
230-0723-491.03-11,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,MAIN STREET,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,GRANT ADMIN SERVICES,2014,"$34,525",,,,,,,,,,,,,,
230-0724-491.09-20,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,HUD SECTION 108,ECONOMIC DEVELOPMENT,CDBG,DEBT SERVICE,INTEREST EXPENSE,2014,$0,,,,,,,,,,,,,,
230-0724-491.10-85,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,HUD SECTION 108,ECONOMIC DEVELOPMENT,CDBG,TRANSFER,TRANSFER TO DEBT SERVICE,2014,$0,,,,,,,,,,,,,,
230-0727-491.03-11,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,MAIN STREET/ELM STREET,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,GRANT ADMIN SERVICES,2014,$0,,,,,,,,,,,,,,
230-0729-492.13-30,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,ALLEY CAT BOXING,2014,$810,,,,,,,,,,,,,,
230-0729-492.13-31,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,CASA GUANAJUATO,2014,$0,,,,,,,,,,,,,,
230-0729-492.13-32,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,SALVATION ARMY,2014,"$15,000",,,,,,,,,,,,,,
230-0729-492.13-34,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,SPRINGBROOK COP,2014,"$4,000",,,,,,,,,,,,,,
230-0729-492.13-35,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,CLOVERLEAF,2014,$0,,,,,,,,,,,,,,
230-0729-492.13-36,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,FLORECIENTE COP,2014,$0,,,,,,,,,,,,,,
230-0729-492.13-39,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,PROJECT NOW SENIOR,2014,$0,,,,,,,,,,,,,,
230-0729-492.13-41,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,CITY OF MOLINE FACADE,2014,$0,,,,,,,,,,,,,,
230-0729-492.13-46,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,WVIK,2014,$0,,,,,,,,,,,,,,
230-0729-492.13-74,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2013,CHS,2014,"$3,535",,,,,,,,,,,,,,
230-0729-492.14-47,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2014,SIDEWALK PROGRAM,2014,"$28,100",,,,,,,,,,,,,,
230-0729-492.14-48,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2014,HAWK HOLLOW,2014,"$254,890",,,,,,,,,,,,,,
230-0729-492.14-54,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2014,NEIGHBORHOOD ABATEMENT,2014,"$16,060",,,,,,,,,,,,,,
230-0729-492.14-74,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2014,CHS,2014,"$404,610",,,,,,,,,,,,,,
230-0729-492.14-75,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2014,CHS EMERGENCY PROGRAM,2014,"$64,165",,,,,,,,,,,,,,
230-0729-492.14-76,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2014,CHS ROOF PROGRAM,2014,"$156,705",,,,,,,,,,,,,,
230-0729-492.15-32,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2015,SALVATION ARMY,2014,$0,,,,,,,,,,,,,,
230-0729-492.15-37,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2015,MOLINE CDC,2014,$0,,,,,,,,,,,,,,
230-0729-492.15-47,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2015,SIDEWALK PROGRAM,2014,$0,,,,,,,,,,,,,,
230-0729-492.15-74,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2015,CHS,2014,$0,,,,,,,,,,,,,,
230-0729-492.15-75,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2015,CHS EMERGENCY PROGRAM,2014,$0,,,,,,,,,,,,,,
230-0729-492.15-76,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,CDBG PROJECTS,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,FISCAL YEAR 2015,CHS ROOF PROGRAM,2014,$0,,,,,,,,,,,,,,
231-0735-492.09-25,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,REVOLVING LOAN FUND,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,DEBT SERVICE,BAD DEBT EXPENSE,2014,$0,,,,,,,,,,,,,,
231-0735-492.11-65,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,REVOLVING LOAN FUND,ECONOMIC DEVELOPMENT,PUBLIC SERVICES,MISCELLANEOUS,LOANS,2014,"$280,000",,,,,,,,,,,,,,
234-0775-496.01-01,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,TIF PROJECTS,ECONOMIC DEVELOPMENT,TIF,SALARIES/WAGES,FULL TIME SALARIES,2014,"$93,220",,,,,,,,,,,,,,
234-0775-496.01-27,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,TIF PROJECTS,ECONOMIC DEVELOPMENT,TIF,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2014,$0,,,,,,,,,,,,,,
